Surprisal	Preposition	E/D	Connective	Crossing
36.470245361328125	Near		; in short, 	C_X
36.1964111328125	Near		; again, 	C_X
36.730064392089844	By		; again, 	C_X
36.43616485595703	Near		; again, 	C_X
35.670040130615234	Near		; I repeat, 	C_X
36.120513916015625	By		; I repeat, 	C_X
35.71897888183594	Near		; I repeat, 	C_X
36.10124206542969	Near		. Thus, 	C_X
36.91524887084961	Near		. That is, 	C_X
36.68265914916992	Near		. Therefore, 	C_X
36.38206481933594	Near		. In short, 	C_X
36.27816390991211	Near		. Again, 	C_X
36.4432373046875	Near		. I repeat, 	C_X
36.18006896972656	Near		; thus, 	C_X
35.58408737182617	Near		; that is, 	C_X
37.186710357666016	Near		; therefore, 	C_X
36.111045837402344	Near		; in short, 	C_X
36.1964111328125	Near		; again, 	C_X
35.670040130615234	Near		; I repeat, 	C_X
36.532840728759766	By		. Thus, 	C_X
37.35334014892578	By		. That is, 	C_X
37.116600036621094	By		. Therefore, 	C_X
36.88163375854492	By		. In short, 	C_X
36.92286682128906	By		. Again, 	C_X
36.770076751708984	By		. I repeat, 	C_X
36.52877426147461	By		; thus, 	C_X
35.89673614501953	By		; that is, 	C_X
37.55048370361328	By		; therefore, 	C_X
36.52885818481445	By		; in short, 	C_X
36.730064392089844	By		; again, 	C_X
36.120513916015625	By		; I repeat, 	C_X
36.61463165283203	Near		. Thus, 	C_X
37.315677642822266	Near		. That is, 	C_X
37.1938362121582	Near		. Therefore, 	C_X
36.92720413208008	Near		. In short, 	C_X
36.741966247558594	Near		. Again, 	C_X
36.57698059082031	Near		. I repeat, 	C_X
36.66503143310547	Near		; thus, 	C_X
35.57992172241211	Near		; that is, 	C_X
37.90190124511719	Near		; therefore, 	C_X
36.470245361328125	Near		; in short, 	C_X
36.43616485595703	Near		; again, 	C_X
35.71897888183594	Near		; I repeat, 	C_X
34.210487365722656	Near		. Thus, 	E_nX
34.8865966796875	By		. Thus, 	E_nX
34.77070617675781	Near		. Thus, 	E_nX
35.05766296386719	Near		. That is, 	E_nX
36.0999641418457	By		. That is, 	E_nX
35.46922302246094	Near		. That is, 	E_nX
34.58563995361328	Near		. Therefore, 	E_nX
35.265411376953125	By		. Therefore, 	E_nX
35.14950180053711	Near		. Therefore, 	E_nX
35.07099914550781	Near		. In short, 	E_nX
36.01612854003906	By		. In short, 	E_nX
35.58466339111328	Near		. In short, 	E_nX
35.002227783203125	Near		. Again, 	E_nX
35.99714660644531	By		. Again, 	E_nX
35.552284240722656	Near		. Again, 	E_nX
36.4009895324707	Near		. I repeat, 	E_nX
37.03822708129883	By		. I repeat, 	E_nX
37.093109130859375	Near		. I repeat, 	E_nX
34.44816589355469	Near		; thus, 	E_nX
34.88615798950195	By		; thus, 	E_nX
34.90266799926758	Near		; thus, 	E_nX
34.44425582885742	Near		; that is, 	E_nX
35.04594039916992	By		; that is, 	E_nX
34.71139907836914	Near		; that is, 	E_nX
34.866729736328125	Near		; therefore, 	E_nX
35.206146240234375	By		; therefore, 	E_nX
35.347991943359375	Near		; therefore, 	E_nX
34.506553649902344	Near		; in short, 	E_nX
35.36948776245117	By		; in short, 	E_nX
34.957679748535156	Near		; in short, 	E_nX
35.50535202026367	Near		; again, 	E_nX
36.38736343383789	By		; again, 	E_nX
36.00299072265625	Near		; again, 	E_nX
34.846195220947266	Near		; I repeat, 	E_nX
35.49663543701172	By		; I repeat, 	E_nX
35.45793914794922	Near		; I repeat, 	E_nX
34.210487365722656	Near		. Thus, 	E_nX
35.05766296386719	Near		. That is, 	E_nX
34.58563995361328	Near		. Therefore, 	E_nX
35.07099914550781	Near		. In short, 	E_nX
35.002227783203125	Near		. Again, 	E_nX
36.4009895324707	Near		. I repeat, 	E_nX
34.44816589355469	Near		; thus, 	E_nX
34.44425582885742	Near		; that is, 	E_nX
34.866729736328125	Near		; therefore, 	E_nX
34.506553649902344	Near		; in short, 	E_nX
35.50535202026367	Near		; again, 	E_nX
34.846195220947266	Near		; I repeat, 	E_nX
34.8865966796875	By		. Thus, 	E_nX
36.0999641418457	By		. That is, 	E_nX
35.265411376953125	By		. Therefore, 	E_nX
36.01612854003906	By		. In short, 	E_nX
35.99714660644531	By		. Again, 	E_nX
37.03822708129883	By		. I repeat, 	E_nX
34.88615798950195	By		; thus, 	E_nX
35.04594039916992	By		; that is, 	E_nX
35.206146240234375	By		; therefore, 	E_nX
35.36948776245117	By		; in short, 	E_nX
36.38736343383789	By		; again, 	E_nX
35.49663543701172	By		; I repeat, 	E_nX
34.77070617675781	Near		. Thus, 	E_nX
35.46922302246094	Near		. That is, 	E_nX
35.14950180053711	Near		. Therefore, 	E_nX
35.58466339111328	Near		. In short, 	E_nX
35.552284240722656	Near		. Again, 	E_nX
37.093109130859375	Near		. I repeat, 	E_nX
34.90266799926758	Near		; thus, 	E_nX
34.71139907836914	Near		; that is, 	E_nX
35.347991943359375	Near		; therefore, 	E_nX
34.957679748535156	Near		; in short, 	E_nX
36.00299072265625	Near		; again, 	E_nX
35.45793914794922	Near		; I repeat, 	E_nX
36.40239334106445	Near		. Thus, 	E_X
37.179046630859375	By		. Thus, 	E_X
36.945220947265625	Near		. Thus, 	E_X
37.13691329956055	Near		. That is, 	E_X
37.98039245605469	By		. That is, 	E_X
37.598388671875	Near		. That is, 	E_X
36.97085189819336	Near		. Therefore, 	E_X
37.87390899658203	By		. Therefore, 	E_X
37.5360221862793	Near		. Therefore, 	E_X
36.774574279785156	Near		. In short, 	E_X
37.78541946411133	By		. In short, 	E_X
37.29159164428711	Near		. In short, 	E_X
36.79741287231445	Near		. Again, 	E_X
37.962013244628906	By		. Again, 	E_X
37.39677047729492	Near		. Again, 	E_X
38.30427551269531	Near		. I repeat, 	E_X
39.067474365234375	By		. I repeat, 	E_X
39.14726257324219	Near		. I repeat, 	E_X
36.678611755371094	Near		; thus, 	E_X
37.20478057861328	By		; thus, 	E_X
37.12370300292969	Near		; thus, 	E_X
35.964603424072266	Near		; that is, 	E_X
36.55540084838867	By		; that is, 	E_X
36.11322784423828	Near		; that is, 	E_X
37.7458610534668	Near		; therefore, 	E_X
38.318931579589844	By		; therefore, 	E_X
38.23927307128906	Near		; therefore, 	E_X
36.644500732421875	Near		; in short, 	E_X
37.46831130981445	By		; in short, 	E_X
37.024208068847656	Near		; in short, 	E_X
37.188629150390625	Near		; again, 	E_X
38.045570373535156	By		; again, 	E_X
37.730018615722656	Near		; again, 	E_X
36.928401947021484	Near		; I repeat, 	E_X
37.625213623046875	By		; I repeat, 	E_X
37.67791748046875	Near		; I repeat, 	E_X
36.40239334106445	Near		. Thus, 	E_X
37.13691329956055	Near		. That is, 	E_X
36.97085189819336	Near		. Therefore, 	E_X
36.774574279785156	Near		. In short, 	E_X
36.79741287231445	Near		. Again, 	E_X
38.30427551269531	Near		. I repeat, 	E_X
36.678611755371094	Near		; thus, 	E_X
35.964603424072266	Near		; that is, 	E_X
37.7458610534668	Near		; therefore, 	E_X
36.644500732421875	Near		; in short, 	E_X
37.188629150390625	Near		; again, 	E_X
36.928401947021484	Near		; I repeat, 	E_X
37.179046630859375	By		. Thus, 	E_X
37.98039245605469	By		. That is, 	E_X
37.87390899658203	By		. Therefore, 	E_X
37.78541946411133	By		. In short, 	E_X
37.962013244628906	By		. Again, 	E_X
39.067474365234375	By		. I repeat, 	E_X
37.20478057861328	By		; thus, 	E_X
36.55540084838867	By		; that is, 	E_X
38.318931579589844	By		; therefore, 	E_X
37.46831130981445	By		; in short, 	E_X
38.045570373535156	By		; again, 	E_X
37.625213623046875	By		; I repeat, 	E_X
36.945220947265625	Near		. Thus, 	E_X
37.598388671875	Near		. That is, 	E_X
37.5360221862793	Near		. Therefore, 	E_X
37.29159164428711	Near		. In short, 	E_X
37.39677047729492	Near		. Again, 	E_X
39.14726257324219	Near		. I repeat, 	E_X
37.12370300292969	Near		; thus, 	E_X
36.11322784423828	Near		; that is, 	E_X
38.23927307128906	Near		; therefore, 	E_X
37.024208068847656	Near		; in short, 	E_X
37.730018615722656	Near		; again, 	E_X
37.67791748046875	Near		; I repeat, 	E_X
33.74334716796875	Near		. Thus, 	C_nX
34.107147216796875	By		. Thus, 	C_nX
34.16717529296875	Near		. Thus, 	C_nX
34.30719757080078	Near		. That is, 	C_nX
34.544559478759766	By		. That is, 	C_nX
34.53994369506836	Near		. That is, 	C_nX
33.776222229003906	Near		. Therefore, 	C_nX
34.14739990234375	By		. Therefore, 	C_nX
34.166717529296875	Near		. Therefore, 	C_nX
34.75813674926758	Near		. In short, 	C_nX
35.36052322387695	By		. In short, 	C_nX
35.16448974609375	Near		. In short, 	C_nX
35.011104583740234	Near		. Again, 	C_nX
35.83677673339844	By		. Again, 	C_nX
35.45133972167969	Near		. Again, 	C_nX
36.04048538208008	Near		. I repeat, 	C_nX
36.5986442565918	By		. I repeat, 	C_nX
36.66169738769531	Near		. I repeat, 	C_nX
34.81179428100586	Near		; thus, 	C_nX
35.07850646972656	By		; thus, 	C_nX
35.174705505371094	Near		; thus, 	C_nX
33.52815246582031	Near		; that is, 	C_nX
33.706573486328125	By		; that is, 	C_nX
33.71177673339844	Near		; that is, 	C_nX
34.81336975097656	Near		; therefore, 	C_nX
34.94492721557617	By		; therefore, 	C_nX
35.03916931152344	Near		; therefore, 	C_nX
34.47129821777344	Near		; in short, 	C_nX
35.25769805908203	By		; in short, 	C_nX
34.747745513916016	Near		; in short, 	C_nX
36.03144073486328	Near		; again, 	C_nX
36.85572052001953	By		; again, 	C_nX
36.41889572143555	Near		; again, 	C_nX
35.10562515258789	Near		; I repeat, 	C_nX
35.800941467285156	By		; I repeat, 	C_nX
35.682090759277344	Near		; I repeat, 	C_nX
33.74334716796875	Near		. Thus, 	C_nX
34.30719757080078	Near		. That is, 	C_nX
33.776222229003906	Near		. Therefore, 	C_nX
34.75813674926758	Near		. In short, 	C_nX
35.011104583740234	Near		. Again, 	C_nX
36.04048538208008	Near		. I repeat, 	C_nX
34.81179428100586	Near		; thus, 	C_nX
33.52815246582031	Near		; that is, 	C_nX
34.81336975097656	Near		; therefore, 	C_nX
34.47129821777344	Near		; in short, 	C_nX
36.03144073486328	Near		; again, 	C_nX
35.10562515258789	Near		; I repeat, 	C_nX
34.107147216796875	By		. Thus, 	C_nX
34.544559478759766	By		. That is, 	C_nX
34.14739990234375	By		. Therefore, 	C_nX
35.36052322387695	By		. In short, 	C_nX
35.83677673339844	By		. Again, 	C_nX
36.5986442565918	By		. I repeat, 	C_nX
35.07850646972656	By		; thus, 	C_nX
33.706573486328125	By		; that is, 	C_nX
34.94492721557617	By		; therefore, 	C_nX
35.25769805908203	By		; in short, 	C_nX
36.85572052001953	By		; again, 	C_nX
35.800941467285156	By		; I repeat, 	C_nX
34.16717529296875	Near		. Thus, 	C_nX
34.53994369506836	Near		. That is, 	C_nX
34.166717529296875	Near		. Therefore, 	C_nX
35.16448974609375	Near		. In short, 	C_nX
35.45133972167969	Near		. Again, 	C_nX
36.66169738769531	Near		. I repeat, 	C_nX
35.174705505371094	Near		; thus, 	C_nX
33.71177673339844	Near		; that is, 	C_nX
35.03916931152344	Near		; therefore, 	C_nX
34.747745513916016	Near		; in short, 	C_nX
36.41889572143555	Near		; again, 	C_nX
35.682090759277344	Near		; I repeat, 	C_nX
36.189666748046875	Near		. Thus, 	C_X
36.83301544189453	By		. Thus, 	C_X
36.583885192871094	Near		. Thus, 	C_X
36.58766555786133	Near		. That is, 	C_X
36.879188537597656	By		. That is, 	C_X
36.86798858642578	Near		. That is, 	C_X
36.48167419433594	Near		. Therefore, 	C_X
37.26483154296875	By		. Therefore, 	C_X
36.88414764404297	Near		. Therefore, 	C_X
36.702125549316406	Near		. In short, 	C_X
37.46820068359375	By		. In short, 	C_X
37.10664367675781	Near		. In short, 	C_X
37.04252624511719	Near		. Again, 	C_X
38.2917366027832	By		. Again, 	C_X
37.50154113769531	Near		. Again, 	C_X
38.1724739074707	Near		. I repeat, 	C_X
38.990020751953125	By		. I repeat, 	C_X
38.84198760986328	Near		. I repeat, 	C_X
37.08380126953125	Near		; thus, 	C_X
37.711299896240234	By		; thus, 	C_X
37.427330017089844	Near		; thus, 	C_X
35.328826904296875	Near		; that is, 	C_X
35.70563888549805	By		; that is, 	C_X
35.367679595947266	Near		; that is, 	C_X
37.74641418457031	Near		; therefore, 	C_X
38.3786506652832	By		; therefore, 	C_X
37.99235153198242	Near		; therefore, 	C_X
36.71649932861328	Near		; in short, 	C_X
37.64203643798828	By		; in short, 	C_X
36.929649353027344	Near		; in short, 	C_X
37.813072204589844	Near		; again, 	C_X
38.9351921081543	By		; again, 	C_X
38.2824592590332	Near		; again, 	C_X
37.43788146972656	Near		; I repeat, 	C_X
38.36415100097656	By		; I repeat, 	C_X
38.084373474121094	Near		; I repeat, 	C_X
36.189666748046875	Near		. Thus, 	C_X
36.58766555786133	Near		. That is, 	C_X
36.48167419433594	Near		. Therefore, 	C_X
36.702125549316406	Near		. In short, 	C_X
37.04252624511719	Near		. Again, 	C_X
38.1724739074707	Near		. I repeat, 	C_X
37.08380126953125	Near		; thus, 	C_X
35.328826904296875	Near		; that is, 	C_X
37.74641418457031	Near		; therefore, 	C_X
36.71649932861328	Near		; in short, 	C_X
37.813072204589844	Near		; again, 	C_X
37.43788146972656	Near		; I repeat, 	C_X
36.83301544189453	By		. Thus, 	C_X
36.879188537597656	By		. That is, 	C_X
37.26483154296875	By		. Therefore, 	C_X
37.46820068359375	By		. In short, 	C_X
38.2917366027832	By		. Again, 	C_X
38.990020751953125	By		. I repeat, 	C_X
37.711299896240234	By		; thus, 	C_X
35.70563888549805	By		; that is, 	C_X
38.3786506652832	By		; therefore, 	C_X
37.64203643798828	By		; in short, 	C_X
38.9351921081543	By		; again, 	C_X
38.36415100097656	By		; I repeat, 	C_X
36.583885192871094	Near		. Thus, 	C_X
36.86798858642578	Near		. That is, 	C_X
36.88414764404297	Near		. Therefore, 	C_X
37.10664367675781	Near		. In short, 	C_X
37.50154113769531	Near		. Again, 	C_X
38.84198760986328	Near		. I repeat, 	C_X
37.427330017089844	Near		; thus, 	C_X
35.367679595947266	Near		; that is, 	C_X
37.99235153198242	Near		; therefore, 	C_X
36.929649353027344	Near		; in short, 	C_X
38.2824592590332	Near		; again, 	C_X
38.084373474121094	Near		; I repeat, 	C_X
37.083003997802734	Near		. Thus, 	E_nX
37.58695983886719	By		. Thus, 	E_nX
37.418148040771484	Near		. Thus, 	E_nX
37.53578186035156	Near		. That is, 	E_nX
37.97796630859375	By		. That is, 	E_nX
37.797096252441406	Near		. That is, 	E_nX
37.284912109375	Near		. Therefore, 	E_nX
37.89704132080078	By		. Therefore, 	E_nX
37.627830505371094	Near		. Therefore, 	E_nX
37.41461181640625	Near		. In short, 	E_nX
37.988746643066406	By		. In short, 	E_nX
37.75027847290039	Near		. In short, 	E_nX
38.268428802490234	Near		. Again, 	E_nX
39.11557388305664	By		. Again, 	E_nX
38.6573600769043	Near		. Again, 	E_nX
41.57209014892578	Near		. I repeat, 	E_nX
41.75076675415039	By		. I repeat, 	E_nX
41.630828857421875	Near		. I repeat, 	E_nX
37.97636795043945	Near		; thus, 	E_nX
38.419097900390625	By		; thus, 	E_nX
38.20104217529297	Near		; thus, 	E_nX
36.40071105957031	Near		; that is, 	E_nX
36.93177795410156	By		; that is, 	E_nX
36.3680419921875	Near		; that is, 	E_nX
38.55263900756836	Near		; therefore, 	E_nX
39.06388854980469	By		; therefore, 	E_nX
38.72606658935547	Near		; therefore, 	E_nX
37.586978912353516	Near		; in short, 	E_nX
38.1763916015625	By		; in short, 	E_nX
37.73490524291992	Near		; in short, 	E_nX
39.42156982421875	Near		; again, 	E_nX
39.97587585449219	By		; again, 	E_nX
39.72399139404297	Near		; again, 	E_nX
40.04669189453125	Near		; I repeat, 	E_nX
40.23918914794922	By		; I repeat, 	E_nX
40.38007354736328	Near		; I repeat, 	E_nX
37.083003997802734	Near		. Thus, 	E_nX
37.53578186035156	Near		. That is, 	E_nX
37.284912109375	Near		. Therefore, 	E_nX
37.41461181640625	Near		. In short, 	E_nX
38.268428802490234	Near		. Again, 	E_nX
41.57209014892578	Near		. I repeat, 	E_nX
37.97636795043945	Near		; thus, 	E_nX
36.40071105957031	Near		; that is, 	E_nX
38.55263900756836	Near		; therefore, 	E_nX
37.586978912353516	Near		; in short, 	E_nX
39.42156982421875	Near		; again, 	E_nX
40.04669189453125	Near		; I repeat, 	E_nX
37.58695983886719	By		. Thus, 	E_nX
37.97796630859375	By		. That is, 	E_nX
37.89704132080078	By		. Therefore, 	E_nX
37.988746643066406	By		. In short, 	E_nX
39.11557388305664	By		. Again, 	E_nX
41.75076675415039	By		. I repeat, 	E_nX
38.419097900390625	By		; thus, 	E_nX
36.93177795410156	By		; that is, 	E_nX
39.06388854980469	By		; therefore, 	E_nX
38.1763916015625	By		; in short, 	E_nX
39.97587585449219	By		; again, 	E_nX
40.23918914794922	By		; I repeat, 	E_nX
37.418148040771484	Near		. Thus, 	E_nX
37.797096252441406	Near		. That is, 	E_nX
37.627830505371094	Near		. Therefore, 	E_nX
